name,atv1,atv2,atv3,atv4,atv5,atv6,total
Student_38,5,15,4,11,39,17,91
Student_1,5,15,0,0,0,19,39
Student_2,0,0,0,5,35,8,48
Student_39,5,15,5,15,40,19,99
Student_40,0,0,0,0,0,0,0
Student_41,5,15,0,7,30,5,62
Student_42,5,15,5,14,40,20,99
Student_43,5,6,5,0,40,18,74
Student_44,5,15,5,13,35,18,91
Student_45,0,0,0,0,0,0,0
Student_6,0,0,0,0,0,0,0
Student_46,4,10,4,15,34,15,82
Student_47,0,10,0,15,5,15,45
Student_7,5,0,0,0,0,0,5
Student_8,0,0,0,0,0,0,0
Student_48,5,0,4,0,0,0,9
Student_9,0,0,0,0,0,0,0
Student_49,0,8,4,10,35,17,74
Student_50,5,0,4,15,34,18,76
Student_51,5,15,5,15,30,19,89
Student_52,5,12,3,6,35,16,77
Student_10,0,14,5,0,0,0,19
Student_53,5,15,5,14,40,19,98
Student_54,5,10,4,8,39,10,76
Student_55,5,12,5,7,40,18,87
Student_56,0,0,0,0,0,0,0
Student_57,5,15,5,8,30,16,79
Student_58,5,13,4,13,35,18,88
Student_59,5,15,5,13,39,10,87
Student_14,0,0,0,0,0,10,10
Student_15,0,12,5,0,0,7,24
Student_60,5,13,5,13,40,19,95
Student_61,3,7,0,6,40,20,76
Student_62,4,7,0,6,30,18,65
Student_63,5,12,0,4,35,17,73
Student_64,0,0,0,0,0,0,0
Student_65,5,11,4,0,40,15,75
Student_66,5,11,0,0,0,0,16
Student_67,0,0,0,7,40,19,66
Student_68,0,15,4,15,35,17,86
Student_69,0,12,4,11,30,16,73
Student_70,5,12,5,10,34,19,85
Student_71,5,13,4,13,40,19,94
Student_21,0,0,0,0,0,0,0
Student_22,0,0,0,0,0,0,0
Student_23,0,0,0,0,0,0,0
Student_24,0,0,0,0,0,0,0
Student_72,5,9,4,11,40,20,89
Student_73,5,12,5,13,40,17,92
Student_74,0,7,4,11,39,15,76
Student_75,3,3,4,6,30,5,51
Student_76,4,14,5,9,34,15,81
Student_77,0,0,0,0,0,0,0
Student_78,5,12,3,15,39,10,84
Student_79,4,13,4,6,35,17,79
Student_80,5,12,5,14,30,18,84
Student_81,5,13,5,13,25,20,81
Student_82,4,12,4,4,39,10,73
Student_83,0,13,0,12,39,10,74
Student_84,0,0,0,0,0,0,0
Student_85,5,10,0,7,35,7,64
Student_86,5,11,5,6,35,8,70
Student_36,5,11,0,0,0,0,16
Student_87,5,10,5,12,5,15,52
Student_37,0,0,0,0,0,0,0
Student_88,4,10,4,11,5,15,49
Student_89,4,15,4,13,40,19,95
Student_90,0,12,4,11,25,19,71
Student_91,5,14,0,13,40,18,90
Student_92,4,5,0,0,34,20,63
Student_93,5,0,4,6,40,16,71
Student_94,5,7,4,6,34,18,74
Student_95,5,7,4,7,30,18,71
Student_96,4,15,5,7,40,18,89
Student_97,0,0,0,0,0,0,0
